Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Battery_Cell,
C1,1206,1,1u,
C10,1206,1,1u,
C11,1206,1,1u,
C12,1206,1,1u,
C13,1206,1,1u,
C14,1206,1,1n,
C2,1206,1,4.7u,
C3,1206,1,1u,
C4,1206,1,0.1u,
C5,1206,1,1u,
C6,1206,1,0.1u,
C7,1206,1,0.1u,
C8,1206,1,1u,
C9,1206,1,1u,
"D1, D2",D_SOD-110,2,1N4728,
D3,SOT-23,1,D_Zener_Dual_CommonAnode_KKA,
H1,MountingHole_2.7mm_M2.5_Pad,1,MountingHole,
J1,PinSocket_1x04_P2.54mm_Vertical,1,zigbee connector,
J2,PinSocket_1x05_P2.54mm_Vertical,1,SWD,
J3,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J4,PinSocket_1x04_P2.54mm_Vertical,1,AM2320,
J5,PinHeader_1x02_P1.27mm_Vertical,1,Lithium_battery_conn,
J6,PinSocket_1x05_P2.54mm_Vertical,1,ACC,
J7,TerminalBlock_bornier-2_P5.08mm,1,DBG_PWR,
JP1,PinSocket_1x02_P1.27mm_Vertical,1,3.3v Jumper,
MK1,MIC_AOM-6738P-R,1,AOM-6738P-R,
Q1,SOT-23,1,DMP3098LQ,
R1,0805,1,100k,
R10,0805,1,1k,
R11,0805,1,1k,
R12,0805,1,1k,
R13,0805,1,22k,
R14,0805,1,22k,
R15,0805,1,20k,
R16,0805,1,4.7k,
R17,0805,1,200,
R18,0805,1,10k,
R19,0805,1,470,
R2,0805,1,10k,
R20,0805,1,470,
R3,0805,1,10k,
R4,0805,1,10k,
R5,0805,1,10k,
R6,R_LDR_10x8.5mm_P7.6mm_Vertical,1,LDR03,
R7,0805,1,100k,
R8,0805,1,1k,
R9,0805,1,10k,
"TP1, TP2",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,2,TestPoint,
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,1,MCP6002-xMC,
"U2, U4",SOT-353_SC-70-5,2,MIC5365-3.3YC5,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32L051C8Tx,
U5,XDCR_SCD41-D-R2,1,SDC42,
